SamplePopID,PopName,Average SNP count,medianFST,medianFSTregion,MedianFSTAdjustedNeighbors,numberofNeighborswithin1000km,harmonicMean,harmonicMean_5perc,harmonicMean_95perc
174,Khakass_Sagai,582297.5,0.0559651,0.0480776,0.014917975,17,2141.7562,1272.6689,4.55E+03
175,Khamnegan,586625,0.08534315,0.0743823,0.005464289,8,5826.3913,3648.8689,1.26E+04
176,Kharia,595951.5,0.07382285,0.0679447,0.023489284,5,3092.7921,1930.6483,5.19E+03
177,Khomani,596068,0.156845,0.06202255,0.018485201,13,4389.2479,3004.1633,6.50E+03
178,Khwe,595042.5,0.147603,0.03759745,0.026305861,19,2359.1478,1458.9178,4.21E+03
179,KichwaOrellana,596491,0.1633805,0.0457893,0.041441051,6,965.3743,764.3895,1.21E+03
180,Kinh,596588.5,0.1008395,0.0200939,0.004506003,7,20920.937,6438.398,7.39E+05
181,Kolombangara,596143,0.1233515,0.0494966,0.051089465,29,NA,NA,NA
182,Korean,595862,0.1018965,0.0926093,NA,1,56977.3775,56977.3775,5.70E+04
183,Koryak,596080,0.122253,0.111783,NA,0,1112.4785,777.8338,1.70E+03
184,Kove,590447,0.1406555,0.0498231,0.052057931,27,707.257,427.2766,1.53E+03
185,Kove_Tamuniai,590478.5,0.1469785,0.0543889,0.057406046,27,625.957,511.9769,7.79E+02
186,Kubachinian,589366,0.06054315,0.0283208,0.021211899,39,1087.0981,611.8041,2.59E+03
187,Kumyk,595769,0.04105665,0.011355,0.004595779,36,29725.4257,13548.591,1.32E+05
188,Kuot_Kabil,589330.5,0.1459315,0.0407824,0.041156433,28,1043.5055,776.0845,1.43E+03
189,Kuot_Lamalaua,589577,0.1414765,0.0353659,0.035929702,28,1741.872,1281.8442,2.39E+03
190,Kurd,588763,0.0460777,0.0166072,0.00955957,42,NA,NA,NA
191,Kusunda,594767,0.0807054,0.0714323,0.046108925,5,1115.461,670.8511,2.26E+03
192,Kyrgyz,596645,0.0505432,0.0420865,0.011342816,11,15731.9019,8520.963,4.88E+04
193,Lahu,593708,0.1207855,0.112517,NA,0,901.534,521.2447,1.87E+03
194,LaJalca,596178,0.1307855,0.03898865,0.034585698,6,1204.1713,841.6008,1.77E+03
195,Lak,589249.5,0.04971035,0.0189857,0.011938643,38,2813.0781,1719.5753,5.24E+03
196,Lebanese,596397.5,0.04702425,0.0162538,0.003692001,21,25253.2509,10141.9074,3.66E+05
197,Lebanese_Christian,589230,0.0507987,0.0178666,0.003978486,21,12032.9168,7174.148,2.91E+04
198,Lebanese_Muslim,590021,0.04685925,0.0155889,0.003142766,21,29465.5283,11843.9207,1.70E+05
199,Lebbo,588455,0.09797285,0.02382415,0.031794436,3,1583.9446,1027.4632,2.54E+03
200,Lezgin,596145,0.0454523,0.0140621,0.006654469,39,13364.1062,7425.0161,3.10E+04
201,Libyan,590104,0.050917,0.1043305,0.012676687,9,5864.2782,2362.6769,4.38E+04
202,Lithuanian,596468.5,0.0529195,0.0214399,0.003315934,20,10639.8224,6535.6569,2.11E+04
203,Lodhi,595368,0.04845515,0.0426898,0.00723782,9,6475.9949,3823.5403,1.74E+04
204,Luhya,595837.5,0.138602,0.04740875,0.043704936,8,8561.4198,4749.5034,1.96E+04
205,Luo,595205,0.140274,0.0479065,0.035941836,6,11602.8473,6224.1634,3.22E+04
206,Luya,596086,0.1191535,0.0293149,0.024834935,6,3593.4104,2088.3016,7.08E+03
207,Madak,590540.5,0.1397545,0.0333121,0.034192648,28,1759.072,1308.0925,2.72E+03
208,Makrani,596262,0.0405244,0.0190032,0.004457188,7,7850.5372,4702.3886,1.38E+04
209,Mala,595960.5,0.05292295,0.0497019,0.0096244,8,31641.3233,16233.7137,1.03E+05
210,Malawi_Chewa,588303,0.1479625,0.0508418,0.000232003,3,17696.648,10609.4083,4.02E+04
211,Malawi_Tumbuka,587926.5,0.1470465,0.05042595,0.022791999,5,11273.5493,6731.4217,2.38E+04
212,Malawi_Yao,587828,0.149124,0.0512498,0.000694395,2,17095.2976,9235.7877,4.18E+04
213,Malay,590398,0.0867974,0.0145275,NA,1,40796.6683,16306.356,2.32E+05
214,Maltese,595771.5,0.05008395,0.0157764,0.006812709,14,4211.2891,2301.1793,1.01E+04
215,Mamanwa,595762,0.1269105,0.062443,0.055267081,3,419.1943,309.0688,5.77E+02
216,Mamanwa1,596260,0.0987505,0.0165933,0.0298833,3,6750.9682,2912.8418,2.27E+04
