SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
1226,Marakwet,14,AFRICA,African,1.3,35.5,Kenya,Markweeta,mark1255,automatically assigned by Robert F,ok
1227,Luhya,17,AFRICA,African,0.5,34.5,Kenya,Central Luhya,cent2288,ok,ok
1228,Luo,28,AFRICA,African,-0.5,34.5,Kenya,Luo (Kenya and Tanzania),luok1236,correct by Harald,ok
1229,Kikuyu,21,AFRICA,African,-1,37,Kenya,Kikuyu,kiku1240,automatically assigned by Robert F,ok
1230,Sengwer,21,AFRICA,African,1,35,Kenya,Markweta,mark1255,correct by Harald,ok
1231,Okiek,22,AFRICA,African,0.3,36,Kenya,Okiek,okie1245,automatically assigned by Robert F,ok
1232,Wata,6,AFRICA,African,3.5,37,Kenya,Waata,waat1238,Correct by Harald,ok
1233,Nandi,11,AFRICA,African,0,35.5,Kenya,Nandi,nand1266,automatically assigned by Robert F,ok
1234,ElMolo,16,AFRICA,African,2.8,36.8,Kenya,El Molo,elmo1238,ok,ok
1235,Gabra,16,AFRICA,African,3,37.5,Kenya,Gabra,gabr1255,automatically assigned by Robert F,ok
1236,Sabaot,20,AFRICA,African,1,34.8,Kenya,Sabaot,saba1262,automatically assigned by Robert F,ok
1237,Rendille,28,AFRICA,African,2.3,37.5,Kenya,Rendille,rend1243,automatically assigned by Robert F,ok
1238,Turkana,26,AFRICA,African,3,36,Kenya,Turkana,turk1308,automatically assigned by Robert F,ok
1239,Pokot,23,AFRICA,African,1.5,35.5,Kenya,P•À_koot,poko1263,automatically assigned by Robert F,ok
1240,Borana,32,AFRICA,African,3,38,Kenya,Borana,bora1272,automatically assigned by Robert F,ok
1242,Konso,14,AFRICA,African,5.5,37.5,Ethiopia,Konso,kons1243,automatically assigned by Robert F,ok
1243,Laka,33,AFRICA,African,8,16,Chad,Laka (Chad),laka1254,correct by Harald,ok
1244,Ngambaye,30,AFRICA,African,9,16,Chad,Ngambay,ngam1268,ok,ok
1245,Kaba,27,AFRICA,African,8,16.8,Chad,Kaba,kaba1281,automatically assigned by Robert F,ok
1246,Bulala,15,AFRICA,African,13,18,Chad,Naba,naba1253,correct by Harald,ok
1247,Kanembou,5,AFRICA,African,14,15,Chad,Kanembu,kane1243,automatically assigned by Robert F,ok
1248,Mbum,13,AFRICA,African,5.5,13.5,CentralAfricanRepublic,Mbum,mbum1254,automatically assigned by Robert F,ok
1249,TutsiHutu,8,AFRICA,African,-2,30,Rwanda,Kinyarwanda,kiny1244,ok,ok
1250,Yakoma,6,AFRICA,African,4.3,22.3,CentralAfricanRepublic,Yakoma,yako1252,automatically assigned by Robert F,ok
1252,Gbaya,15,AFRICA,African,5,15,CentralAfricanRepublic,Gbaya-Manza-Ngbaka,gbay1279,correct by Harald,ok
1253,FulaniMbororo,13,AFRICA,African,11.8,14.8,Cameroon,Adamawa Fulfulde,adam1253,ok,ok
1254,Wimbum,14,AFRICA,African,6.5,10.8,Cameroon,Limbum,limb1268,automatically assigned by Robert F,ok
1255,Batie,16,AFRICA,African,4.3,11,Cameroon,Ghom•À_l•À_',ghom1247,automatically assigned by Robert F,ok
1256,Hausa-Cameroon,27,AFRICA,African,10.5,14.5,Cameroon,Hausa,haus1257,maybe,ok
1257,Kongo,17,AFRICA,African,-5.5,15,DemocraticRepublicCongo,Koongo,koon1244,automatically assigned by Robert F,ok
1258,Barega,4,AFRICA,African,-3.5,28,DemocraticRepublicCongo,Lega-Mwenga,lega1250,ok,ok
1259,Baluba,5,AFRICA,African,-9,25,DemocraticRepublicCongo,Baluba,balu1255,automatically assigned by Robert F,ok
1262,Dioula,5,AFRICA,African,9.5,-4.5,IvoryCoast,Dyula,dyul1238,automatically assigned by Robert F,ok
1266,Ewondo,3,AFRICA,African,3.8,11.5,Cameroon,Ewondo,ewon1239,automatically assigned by Robert F,ok
1267,Eton,4,AFRICA,African,4.3,11.5,Cameroon,Eton,eton1256,automatically assigned by Robert F,ok
1268,Nuer,17,AFRICA,African,8.5,31,Sudan,Nuer,nuer1246,automatically assigned by Robert F,ok
1269,Shilook,15,AFRICA,African,10,32,Sudan,Shilluk,shil1265,ok,ok
1270,Nyimang,12,AFRICA,African,12.3,29.5,Sudan,Nyimang,nyim1244,automatically assigned by Robert F,ok
1271,Sara-various,26,AFRICA,African,8,17.5,Chad,Central Sara,cent2044,ok,ok
1272,CapeTown,33,AFROEUROPEAN,African,-34,18.5,SouthAfrica,Standard English,stan1293,ADMIXED,ADMIXED
1273,Venda,11,AFRICA,African,-22.5,30,SouthAfrica,Venda,vend1245,automatically assigned by Robert F,ok
1274,!XunKxoe,6,AFRICA,African,-30,18,SouthAfrica,Sekele,oung1238,ok,ok
1275,Xhosa,27,AFRICA,African,-32,28,SouthAfrica,Xhosa,xhos1239,automatically assigned by Robert F,ok
1276,Koma,9,AFRICA,African,8.5,12.7,Nigeria,Koma Ndera,koma1266,correct by Harald,ok
1277,BetaIsrael,17,AFRICA,African,12,38,Ethiopia,Hebrew,NA,exclude,exclude
1280,Temani,18,MIDDLE_EAST,African,15,45,Yemen,Judeo-Yemeni Arabic,jude1267,correct by Harald,ok
1281,Fulani-Nigeria,4,AFRICA,African,11,11,Nigeria,Nigerian Fulfulde,nige1253,ok,ok
